ID,Rep,Depth,Density,"Fine_root_biomass
",Moisture,C,N,P
LAR,1,0-10,0.96 ,0.42 ,52.36 ,46.20 ,2.76 ,0.32 
LAR,2,0-10,0.68 ,0.54 ,39.12 ,50.80 ,2.71 ,0.28 
LAR,3,0-10,0.78 ,0.45 ,46.15 ,50.50 ,2.86 ,0.33 
PT,1,0-10,1.36 ,0.46 ,31.78 ,31.40 ,1.78 ,0.23 
PT,2,0-10,1.20 ,0.54 ,25.50 ,29.10 ,1.77 ,0.23 
PT,3,0-10,0.90 ,0.50 ,37.26 ,34.90 ,2.13 ,0.25 
CJ,1,0-10,0.85 ,0.90 ,39.97 ,41.20 ,3.01 ,0.54 
CJ,2,0-10,0.86 ,0.99 ,38.92 ,39.80 ,3.02 ,0.44 
CJ,3,0-10,0.98 ,1.07 ,36.91 ,42.50 ,3.25 ,0.49 
S,1,0-10,0.95 ,1.63 ,49.52 ,42.60 ,2.87 ,0.24 
S,2,0-10,0.76 ,0.85 ,53.23 ,41.90 ,3.36 ,0.25 
S,3,0-10,1.06 ,0.88 ,37.48 ,45.30 ,3.63 ,0.29 
LAR,1,10-20,1.43 ,0.07 ,17.81 ,14.30 ,1.38 ,0.23 
LAR,2,10-20,1.31 ,0.07 ,27.47 ,14.80 ,1.42 ,0.22 
LAR,3,10-20,1.37 ,0.10 ,25.44 ,15.30 ,1.39 ,0.26 
PT,1,10-20,1.64 ,0.15 ,14.31 ,15.80 ,1.35 ,0.25 
PT,2,10-20,1.54 ,0.10 ,20.84 ,19.30 ,1.63 ,0.23 
PT,3,10-20,1.26 ,0.16 ,27.05 ,14.00 ,1.19 ,0.21 
CJ,1,10-20,1.33 ,0.20 ,27.10 ,24.90 ,2.37 ,0.48 
CJ,2,10-20,0.87 ,0.29 ,39.45 ,34.20 ,3.14 ,0.42 
CJ,3,10-20,0.98 ,0.37 ,36.13 ,28.90 ,2.79 ,0.43 
S,1,10-20,1.40 ,0.26 ,24.51 ,14.10 ,1.24 ,0.17 
S,2,10-20,1.04 ,0.24 ,40.54 ,12.70 ,1.15 ,0.18 
S,3,10-20,1.28 ,0.15 ,21.90 ,15.80 ,1.35 ,0.21 
LAR,1,20-30,1.46 ,0.03 ,17.38 ,9.70 ,1.10 ,0.21 
LAR,2,20-30,1.63 ,0.12 ,22.91 ,13.80 ,1.28 ,0.23 
LAR,3,20-30,1.81 ,0.07 ,13.39 ,14.40 ,1.39 ,0.25 
PT,1,20-30,1.63 ,0.07 ,22.72 ,11.80 ,1.18 ,0.24 
PT,2,20-30,1.47 ,0.11 ,19.72 ,13.60 ,1.30 ,0.26 
PT,3,20-30,1.47 ,0.10 ,23.13 ,15.70 ,1.34 ,0.23 
CJ,1,20-30,1.56 ,0.21 ,16.53 ,26.00 ,1.58 ,0.43 
CJ,2,20-30,1.04 ,0.60 ,32.95 ,23.00 ,2.34 ,0.38 
CJ,3,20-30,1.14 ,0.14 ,32.92 ,27.40 ,1.95 ,0.40 
S,1,20-30,1.59 ,0.13 ,22.80 ,19.30 ,1.09 ,0.17 
S,2,20-30,1.49 ,0.22 ,24.52 ,16.20 ,1.01 ,0.17 
S,3,20-30,1.28 ,0.20 ,21.07 ,18.10 ,1.49 ,0.18 
,,,,,,,,