Gene,Bcon1019-0.0_TPS-bc3,Bcon1019-0.2_TPS-bc3,Bcon1029-0.2_Geranylgeranyl pyrophosphate synthase family protein,Bcon1055-2.10_TPS-bc3,Bcon1055-3.1_TPS-bc3,Bcon1055-3.14_TPS-bc3,Bcon1055-3.3_TPS-bc3,Bcon1055-5.2_TPS-bc3,Bcon1065-0.18_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon109-3.8_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon1134-0.11_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon1142-0.71_Geranylgeranyl pyrophosphate synthase family protein,Bcon1143-0.27_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon1143-0.29_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon1159-0.0_TPS-bc3,Bcon1159-0.0_TPS-bc3,Bcon1166-0.16_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon1176-4.39_TPS-bc1,Bcon1178-0.18_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon1178-0.19_1-deoxy-D-xylulose 5-phosphate reductoisomerase,Bcon1195-2.10_1-deoxy-D-xylulose-5-phosphate synthase,Bcon120-2.10_TPS-c,Bcon121-2.8_Geranylgeranyl pyrophosphate synthase,Bcon1261-4.10_Geranylgeranyl diphosphate synthase,Bcon1294-0.40_4-diphosphocytidyl-2-C-methyl-D-erythritol ki0se,Bcon1308-3.8_Geranylgeranyl diphosphate synthase,Bcon1562-0.19_TPS-g,Bcon1562-0.20_TPS-g,Bcon1571-9.28_1-deoxy-D-xylulose 5-phosphate synthase,Bcon1629-3.8_TPS-bc1,Bcon1630-4.18_Mevalo0te ki0se,Bcon1668-3.7_TPS-bc3,Bcon1719-0.2_TPS-bc3,Bcon1719-0.3_TPS-bc3,Bcon1719-0.8_TPS-bc3,Bcon1719-1.11_TPS-bc3,Bcon1719-2.72_Geranylgeranyl pyrophosphate synthase,Bcon1762-5.7_3-ketoacyl-CoA thiolase,Bcon1769-0.23_TPS-bc3,Bcon1769-0.24_TPS-bc3,Bcon1769-0.27_TPS-bc3,Bcon1769-0.8_TPS-bc3,Bcon1824-1.16_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon1824-1.17_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon1968-1.40_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon2045-0.18_Hydroxymethylglutaryl-CoA synthase,Bcon2052-0.0_TPS-bc3,Bcon218-4.12_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon2299-1.0_TPS-c,Bcon242-1.59_TPS-bc2,Bcon2548-0.0_TPS-bc1,Bcon2786-0.10_TPS-bc2,Bcon2786-0.11_TPS-bc2,Bcon2786-0.9_TPS-bc2,Bcon281-6.30_Thiolase family protein,Bcon283-1.14_4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,Bcon2846-0.8_3-ketoacyl-CoA thiolase,Bcon2861-0.4_TPS-bc3,Bcon2861-0.7_TPS-bc3,Bcon2935-0.13_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon2935-0.17_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon346-2.2_1-deoxy-D-xylulose 5-phosphate synthase 1,Bcon3493-0.7_Farnesyl diphosphate synthase,Bcon3625-1.34_TPS-bc1,Bcon380-0.2_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon3916-0.3_isopentenyl diphosphate isomerase,Bcon486-1.23_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon639-0.10_TPS-bc3,Bcon639-0.11_TPS-bc3,Bcon639-0.14_TPS-bc3,Bcon639-0.15_TPS-bc3,Bcon639-0.54_TPS-bc3,Bcon64-0.14_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon64-0.15_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon64-0.18_isopentenyl diphosphate isomerase,Bcon655-0.2_TPS-bc3,Bcon743-1.3_Thiolase family protein,Bcon769-1.14_TPS-bc3,Bcon769-1.15_TPS-bc3,Bcon769-1.16_TPS-bc3,Bcon769-1.17_TPS-bc3,Bcon769-1.19_Geranylgeranyl pyrophosphate synthase,Bcon769-1.20_TPS-bc3,Bcon769-1.23_TPS-bc3,Bcon840-0.39_Diphosphomevalo0te decarboxylase,Bcon841-3.0_3-hydroxy-3-methylglutaryl coenzyme A reductase,Bcon878-1.30_Farnesyl diphosphate synthase,Bcon891-1.0_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon891-1.10_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon891-2.17_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon891-2.47_2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bcon960-0.0_isopentenyl diphosphate isomerase,Bcon983-0.7_TPS-bc2,Bcon983-1.18_TPS-bc2,Bcon983-1.31_TPS-bc2,Bcon983-1.38_TPS-bc2,Bcon983-1.6_TPS-bc2,Bcon983-1.7_TPS-bc2,Bcon995-0.5_TPS-bc3,Bcon995-0.6_TPS-bc3,Bcon995-0.7_TPS-bc3,Bcon1049-2.11_Geranyl diphosphate synthase
Female.flower.B.conchifolia.rep1,67.311275,0,15.645225,0.660818,0,0,0,0,0,140.151858,0,0,10.165422,2.817752,0.374628,0.374628,0,0,0,46.181843,5.646795,0,0,0,21.909428,0,0,0,129.277978,0,55.877518,0,0,0.848946,0,0,0,0,0,0,0,0,0,0,0,136.219891,0.635406,10.156991,3.421965,0.224461,0,21.143153,0,0.59729,0,106.080419,142.627475,42.838848,0.387028,29.48405,6.094725,17.031793,0,75.90717,0.178617,0,13.753018,0.24788,0,0,0,0,1.327456,0,0,179.526397,70.099789,0,10.388952,0,1.560847,0,2.045084,0.126398,44.366597,0,0,2.994175,0,0,0,0,0,22.447206,0,0,0.18874,1.39164,3.125789,0,0.940281,0
Female.flower.B.conchifolia.rep2,24.881496,0,3.39606,0,0,0,0,0,0,168.266137,0,0,4.165526,0.700355,4.284448,4.284448,0,0,0,32.576068,4.610901,0,0,0,18.417701,0,0,0,61.079485,0,40.619153,0,0,0.246023,0,0,0,0,0,0,0,0,0,0,0,118.388908,0,4.494204,1.811106,0.42769,0,8.302281,0,0,0,56.310147,116.740761,8.645019,0,16.720427,4.839198,8.685063,0,55.268005,0.170159,0,8.001586,0,0,0,0,0,0,0,0.415725,68.084023,42.260089,0,5.23224,0,0.971537,0,0.703447,0,29.384646,0,0,5.714558,0,1.206968,0,0,0,13.80932,0,0,0,0.964168,1.100803,0,0,0
Female.flower.B.conchifolia.rep3,0,0,4.865841,0.101612,0,0,0,0,0,178.561685,0,0,4.785748,1.788922,1.010331,1.010331,0,0.214463,0,28.293597,6.122672,0,0,0,20.265101,0,0,0,55.131001,0,43.724224,0,0,0.595484,0,0.101612,0,0,0,0,0,0,0,0,0,106.293754,0,4.610865,2.04322,0.344848,0,4.235605,0,0.231152,0,40.46542,133.713825,1.436249,0,22.965896,6.73446,11.521265,0,62.7139,0.137091,0,9.19155,0,0,0,0,0,0,0,0,0,32.439501,0,8.320594,0,0.507356,0,0,0,29.422821,0,0.659914,6.230275,0,0.490196,0,0,0,3.518609,0,0,0.437499,0.910456,0.333213,0,0,0
Leaf.B.conchifolia.rep1,0,0,9.810125,0.140581,0,0,0,0,0,35.867421,0,0,5.205094,0.957655,10.448605,10.448605,0,0.109097,0,37.105095,0.069872,0,0,0,13.089779,0,0,0,57.547913,0,23.441144,0,0,0.920494,0.188171,0.479631,0,0,0,0,0,0,0,0,0,48.793721,0,6.40616,0.07413,0.087628,0,0.100178,0,0.236472,0,125.984454,12.436934,0,0,29.419335,0.794055,7.871766,0,29.596432,0,0,0.491605,0,0,0,0,0,0,0,0,0.118042,40.39611,0,2.100637,0,0.908715,0,0,0.098803,14.421889,0,0.686516,0,0,0,0,0,0,0.380224,0,0,0.296516,1.205079,0.819789,0,0.884948,0
Leaf.B.conchifolia.rep2,0,0,8.091472,1.800174,0,0,0,0,0,40.712185,0,0,9.658332,0.9311,10.885651,10.885651,0,0.219951,0,30.524871,0.140726,0,0,0,8.329451,0,0,0,92.67191,0,25.717927,0,0,2.172124,0,1.648192,0,0,0,0,0,0,0,0,0,36.124953,0,6.894144,0,0,0,0,0,0,0,88.174777,17.914336,0,1.21012,42.750046,1.200362,4.910257,0,41.214491,0,0,0.825355,0,0,0,0,0,0,0.452761,0,0,46.953627,0,4.006695,0,0.968075,0,0,0,20.385417,0,0,1.62923,0,0,0,0,0,0,0,0,0,0.80022,2.437815,0.700965,2.614249,0
Leaf.B.conchifolia.rep3,0,0,11.546397,2.84403,0,0,0,0,0,16.280952,0,0,13.111063,2.377621,9.174799,9.174799,0,0,0,54.555428,0,0,0,0,14.230759,0,0,0,47.01238,0,25.993979,0,0,4.119759,0,4.516031,0,0,0.124438,0,0,0,0,0,0,40.437255,0.549195,12.534747,0,0,0,13.807715,0,0,0,156.226031,9.799076,0,0.826018,49.291773,1.779825,7.356926,5.400555,40.842164,0.078321,0,2.576827,0,0,0,0,0,1.71973,2.469911,2.09644,0.131974,64.923418,0,3.351204,0,0.776461,0,0,0.110737,32.088844,0,0,0,0,0,0,0,0,0.218374,0,0,0,0,4.423471,0,1.433973,0
Male.flower.B.conchifolia.rep1,377.701835,0.131755,7.838348,0.070781,0,0,0,0,0,126.526763,0,0,8.772991,32.924447,0.201071,0.201071,0,0.298781,0,23.837499,1.245984,0,0,0,15.614125,0,0,0,45.222921,0,55.538444,0,0,0,0,0.070781,0,0,0.152261,0,0,0,0,0,0,139.799003,1.388593,5.644862,1.524981,0.241195,0,61.208605,0,0,0,52.215711,227.94954,1.715067,0,5.142687,8.022526,7.576174,0,46.061919,1.814469,0,16.801713,0,0,0,0,0,0,0.305053,0.703128,982.497373,33.116643,0,7.921628,0,1.394902,0,12.4027,0.406067,40.146717,0,0,1.62704,0,0,0,0,0,48.60957,0,0,0,0.912604,0,0.318114,0.13861,0
Male.flower.B.conchifolia.rep2,775.748743,0.289512,13.500473,0,0,0,0,0,0,117.850932,0,0,10.02395,53.603532,0.22075,0.22075,0,0.328165,0,22.066442,1.895731,0,0,0,16.289624,0,0,0,54.853023,0,55.097187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.599385,0.759095,5.556509,1.340505,0.132222,0,9.044547,0,0.353149,0,47.141133,257.106473,9.203199,0,5.314121,9.858054,6.065718,0,47.239994,1.364193,0,16.907994,0,0,0,0,0,0,0,0,1780.736334,34.354211,0.534883,9.331514,0,1.394962,0,28.797737,0.594739,35.56663,0,0,1.187451,0,0,0,0,0,65.323434,0,0,0,0.200978,0.519463,0,0.200947,0
Male.flower.B.conchifolia.rep3,219.258405,0.09515,9.701217,0.102277,0,0,0,0,0,122.603848,0,0,7.686633,111.952678,0.728604,0.728604,0,0.215954,0,26.577926,4.14499,0,0,0,15.839443,0,0,0,37.865791,0,45.753305,0,0,0,0,0.102277,0,0,0,0,0,0,0,0,0,132.712035,3.090972,4.935741,2.565519,0.086679,0,91.195948,0.677421,0.939327,0,47.499208,221.503336,6.053195,0,4.51677,11.589025,7.046071,0,56.30831,1.58314,0,20.825893,0.670868,0,0,0,0,0.539255,1.333697,0.850766,538.669918,33.251141,0.587106,11.336115,0,1.438586,0,8.190216,0.195523,51.13638,0,0,1.999792,0,0,0,0,0,69.053289,0,0,0.293703,0,0.842195,0,0.586247,0
Petiole.B.conchifolia.rep1,0,0,13.841623,0.195823,0,0,0,0,0,253.646265,0,0,12.437065,4.704435,57.141718,57.141718,0,0,0,23.481337,0,0,0,0,10.140214,0,0,0,74.757827,0,37.284005,0,0,7.614441,0,0.195823,0,0,0.194992,0,0,0,0,0,0,75.325774,0,13.456197,0.390754,7.099574,0,1.054591,0,0,0,69.691527,73.908467,53.084247,0.176933,21.413352,3.134851,11.513535,0,67.261085,0.122357,0,4.748775,0,0,0,0,0,0,0.390166,0,0,54.580702,0.207891,12.204757,0,2.393487,0,0.506277,0,35.854879,0,2.336944,2.076765,0,0,0,0,0,0.82977,0,0,6.259326,3.171436,3.822416,0,2.076978,0
Petiole.B.conchifolia.rep2,0,0,11.44446,0.087226,0,0,0,0,0,141.549985,0,0,11.710402,12.739042,79.636608,79.636608,0,0,0,25.508096,0.117617,0,0,0,14.586543,0,0,0,62.170261,0,40.597533,0,0,11.160068,0,0.087226,0,0,0.562123,0,0,0,0,0,0,74.744078,0,14.402733,1.497554,6.295756,0,4.356165,2.306639,2.072472,0,64.573688,65.273251,114.578991,0.705496,26.493519,3.343935,14.99432,0,84.096846,0.35157,0,5.794342,0,0,0,0,0,2.75269,2.647944,2.027268,0,66.97448,0,9.945489,0,1.336956,0,0,0.33286,39.057722,0,0,0,0,0,0,0,0,1.010941,0,0,4.78209,0.891626,5.485284,0,2.260285,0
Petiole.B.conchifolia.rep3,0,0,9.308181,0,0,0,0,0,0,453.992669,0,0,9.905292,1.281683,80.618088,80.618088,0,0,0,24.193482,6.081206,0,0,0,14.861557,0,0,0,86.081175,0,44.515,0,0,14.420096,0,0,0,0,0,0,0,0,0,0,0,195.935123,0,12.066864,4.962736,3.323668,0,1.3411,0,0,0,69.812029,98.564956,42.833093,0,8.785504,8.415608,17.773291,0,69.188938,0,0,6.947624,0,0,0,0,0,1.200792,3.49442,1.531129,0,57.290474,0,8.768376,0,3.030511,0,0,0,40.698157,0,0,0.89331,0,0,0,0,0,0.874962,0,0,3.63717,0.294965,0.511827,0,0,0
Root.B.conchifolia.rep1,0,0,5.340693,0,0,0,0,0.452862,0,138.463771,0,0,3.84493,22.557091,0.439588,0.439588,0,0.163542,0,21.760205,1.366107,0,0,0,11.717474,0,0,0,18.99772,0,52.95462,0,0,0,0,0,0,0,25.789515,0,9.772592,0,0,0,0,155.36057,0.748381,12.343224,0.557241,1.316572,0,0,0,0,0,19.877969,199.06507,0.312984,0,23.955512,13.253258,9.142791,0,72.303834,1.780006,0,10.217443,16.608948,0,0,0,0,3.909646,8.976725,3.839346,1.060918,36.619216,5.862815,10.600969,0.216517,15.220371,0,0.577234,0.741187,48.355044,0,0,2.348485,0,0,0,0,0,0.113797,0,0,0,0,0.250756,0,0.989441,0
Root.B.conchifolia.rep2,1.637539,0.823949,5.487596,0,0,0,0,4.194889,0,81.679315,0,0,11.012101,8.021028,0,0,0,0.175512,0,25.387884,0.451635,0,0,0,16.508774,0,0,0,19.971708,0,49.638817,0,0,0,0,0,0,0,412.902761,1.387904,0,0,0,0,0,54.56103,0,11.408167,0.35919,2.544667,0,0,0,0,0,17.388504,153.042606,0.167969,0,36.818328,9.111932,7.702128,0,62.542816,0,0,6.610931,205.122377,0,128.232524,2.146512,0,4.143538,8.178559,5.209412,4.932457,49.141631,4.955843,11.446277,4.410194,7.317324,0,1.084509,0.954812,43.160728,0,0,2.49892,0,0.794171,0,0,0,0.445132,0,0,0.474805,0,1.635714,0,0,0
Root.B.conchifolia.rep3,1.674335,0.421582,8.72641,0,0,0,0,1.076566,0,103.983256,0,0,15.4044,16.269693,0.633584,0.633584,0,0.352284,0,25.356666,0.826859,0,0,0,11.531542,0,0,0,24.677386,0,51.635611,0,0,0,0,0,0,0,56.73069,0,6.837014,0,0,0,0,75.403017,0,11.037324,0.558274,3.69671,0,0,0,0,0,20.828227,180.853607,0.198531,0.108266,42.214505,11.643618,8.874517,2.791104,73.640729,2.022195,0,12.165959,31.884467,0,6.837014,0.770561,0,6.740469,10.968517,7.210776,3.303838,52.136063,6.888459,12.66871,4.992021,8.916271,0,0.763154,1.347938,44.782475,0,0,1.299862,0,2.16775,0,0,0,0,0,0,0.164904,0.142366,34.842821,0.39455,5.255392,0
